"行政區","縣市","型態","房價","面積","屋齡","車位","管理"
"臺北市文山區","臺北市","大樓",47500000,80.495,6,"有車位","有管理"
"臺北市文山區","臺北市","華廈",8450000,21.804,21,"無車位","有管理"
"臺北市中正區","臺北市","華廈",14600000,20.936,38,"無車位","無管理"
"臺北市文山區","臺北市","公寓",8120000,26.236,31,"無車位","有管理"
"臺北市文山區","臺北市","公寓",13900000,30.347,40,"無車位","無管理"
"臺北市文山區","臺北市","公寓",13500000,25.471,34,"無車位","有管理"
"臺北市文山區","臺北市","華廈",11800000,24.342,21,"無車位","無管理"
"臺北市萬華區","臺北市","公寓",13800000,22.582,45,"無車位","無管理"
"臺北市萬華區","臺北市","套房",5500000,10.715,35,"無車位","有管理"
"臺北市中山區","臺北市","華廈",6e+06,10.545,36,"無車位","無管理"
"臺北市中山區","臺北市","公寓",17500000,29.724,32,"無車位","無管理"
"臺北市中山區","臺北市","華廈",22600000,32.186,21,"無車位","有管理"
"臺北市中山區","臺北市","套房",8400000,15.948,38,"無車位","有管理"
"臺北市內湖區","臺北市","大樓",24300000,40.229,7,"有車位","有管理"
"臺北市中山區","臺北市","公寓",15300000,21.925,29,"無車位","無管理"
"臺北市內湖區","臺北市","大樓",2180000,20.153,10,"有車位","有管理"
"臺北市信義區","臺北市","公寓",8100000,32.443,46,"無車位","無管理"
"臺北市信義區","臺北市","華廈",32800000,20.104,6,"無車位","有管理"
"臺北市南港區","臺北市","華廈",19800000,30.707,6,"有車位","有管理"
"臺北市北投區","臺北市","公寓",1e+07,29.584,31,"無車位","無管理"
"臺北市北投區","臺北市","公寓",16500000,50.844,41,"無車位","無管理"
"臺北市士林區","臺北市","華廈",11500000,28.411,37,"無車位","有管理"
"臺北市士林區","臺北市","大樓",28100000,40.732,26,"無車位","有管理"
"臺北市士林區","臺北市","華廈",30500000,50.318,0,"有車位","有管理"
"臺北市士林區","臺北市","華廈",17700000,32.195,0,"有車位","有管理"
"臺北市士林區","臺北市","華廈",18100000,33.018,0,"有車位","有管理"
"臺北市士林區","臺北市","華廈",24400000,42.135,0,"有車位","有管理"
"臺北市北投區","臺北市","透天",5.4e+07,133.052,3,"無車位","無管理"
"臺北市大安區","臺北市","大樓",18600000,21.305,8,"無車位","有管理"
"臺北市大安區","臺北市","華廈",10600000,8.186,16,"無車位","有管理"
"臺北市文山區","臺北市","公寓",6500000,25.304,34,"無車位","無管理"
"臺北市內湖區","臺北市","華廈",16400000,32.225,5,"有車位","有管理"
"臺北市南港區","臺北市","套房",8800000,11.807,7,"無車位","有管理"
"臺北市北投區","臺北市","公寓",15900000,31.291,38,"無車位","無管理"
"臺北市士林區","臺北市","公寓",18900000,37.713,28,"無車位","無管理"
"臺北市南港區","臺北市","大樓",3.6e+07,63.794,3,"有車位","有管理"
"臺北市松山區","臺北市","套房",1e+07,12.956,40,"無車位","有管理"
"臺北市內湖區","臺北市","公寓",16200000,29.896,33,"無車位","無管理"
"臺北市內湖區","臺北市","透天",2380000,16.91,28,"有車位","有管理"
"臺北市文山區","臺北市","大樓",28400000,56.183,1,"有車位","有管理"
"臺北市文山區","臺北市","大樓",68800000,112.772,1,"有車位","有管理"
"臺北市士林區","臺北市","公寓",3500000,9.62,41,"無車位","無管理"
"臺北市文山區","臺北市","大樓",2630000,24.155,19,"無車位","有管理"
"臺北市大安區","臺北市","大樓",1.2e+08,115.074,25,"有車位","有管理"
"臺北市大安區","臺北市","大樓",7.9e+07,67.539,25,"無車位","有管理"
"臺北市北投區","臺北市","公寓",14200000,35.807,32,"無車位","無管理"
"臺北市松山區","臺北市","公寓",19300000,24.799,40,"無車位","無管理"
"臺北市松山區","臺北市","華廈",2.5e+07,35.755,22,"無車位","有管理"
"臺北市松山區","臺北市","公寓",18300000,28.157,29,"無車位","無管理"
"臺北市南港區","臺北市","套房",8400000,11.807,7,"無車位","有管理"
"臺北市南港區","臺北市","華廈",12400000,21.414,6,"有車位","有管理"
"臺北市信義區","臺北市","華廈",3.5e+07,45.617,1,"有車位","有管理"
"臺北市內湖區","臺北市","華廈",13500000,23.828,8,"無車位","有管理"
"臺北市中山區","臺北市","套房",9480000,15.842,8,"無車位","有管理"
"臺北市內湖區","臺北市","大樓",39800000,49.943,4,"有車位","有管理"
"臺北市內湖區","臺北市","大樓",2.6e+07,28.154,15,"有車位","有管理"
"臺北市中正區","臺北市","公寓",1e+07,13.265,42,"無車位","無管理"
"臺北市文山區","臺北市","大樓",31400000,59.995,1,"有車位","有管理"
"臺北市中正區","臺北市","大樓",7e+07,64.55,3,"有車位","有管理"
"臺北市中正區","臺北市","套房",9420000,10.391,7,"無車位","有管理"
"臺北市文山區","臺北市","華廈",1.7e+07,37.598,4,"有車位","有管理"
"臺北市文山區","臺北市","華廈",1.7e+07,28.154,30,"無車位","有管理"
"臺北市文山區","臺北市","大樓",13500000,38.551,19,"有車位","有管理"
"臺北市文山區","臺北市","大樓",24200000,58.564,17,"有車位","有管理"
"臺北市中正區","臺北市","大樓",18300000,24.875,0,"有車位","有管理"
"臺北市中正區","臺北市","大樓",11200000,15.936,0,"有車位","有管理"
"臺北市大同區","臺北市","大樓",21500000,50.369,15,"無車位","有管理"
"臺北市萬華區","臺北市","公寓",25500000,31.058,17,"無車位","有管理"
"臺北市內湖區","臺北市","華廈",14200000,24.397,3,"有車位","有管理"
"臺北市內湖區","臺北市","公寓",15500000,29.155,29,"無車位","有管理"
"臺北市內湖區","臺北市","華廈",14200000,24.451,3,"有車位","有管理"
"臺北市內湖區","臺北市","公寓",11800000,25.401,34,"無車位","無管理"
"臺北市內湖區","臺北市","大樓",9500000,73.625,18,"有車位","有管理"
"臺北市內湖區","臺北市","大樓",1.02e+08,88.115,2,"有車位","有管理"
"臺北市中山區","臺北市","公寓",18200000,32.092,41,"無車位","無管理"
"臺北市中山區","臺北市","公寓",25800000,40.272,32,"無車位","無管理"
"臺北市中山區","臺北市","大樓",27300000,48.225,4,"有車位","有管理"
"臺北市內湖區","臺北市","大樓",30500000,40.305,6,"有車位","有管理"
"臺北市中山區","臺北市","公寓",5500000,20.407,36,"無車位","無管理"
"臺北市松山區","臺北市","大樓",44500000,67.125,10,"無車位","有管理"
"臺北市南港區","臺北市","大樓",27600000,37.456,9,"有車位","有管理"
"臺北市南港區","臺北市","華廈",6600000,12.641,19,"無車位","有管理"
"臺北市信義區","臺北市","公寓",1.4e+07,28.021,32,"無車位","無管理"
"臺北市信義區","臺北市","華廈",27600000,33.284,31,"無車位","無管理"
"臺北市士林區","臺北市","套房",5600000,11.988,18,"無車位","有管理"
"臺北市北投區","臺北市","華廈",14200000,39.177,29,"無車位","有管理"
"臺北市士林區","臺北市","華廈",36500000,56.084,30,"有車位","無管理"
"臺北市士林區","臺北市","公寓",7130000,29.591,36,"無車位","無管理"
"臺北市北投區","臺北市","公寓",13300000,42.81,25,"無車位","無管理"
"臺北市北投區","臺北市","透天",1.55e+08,159.206,41,"無車位","無管理"
"臺北市北投區","臺北市","公寓",15500000,28.332,43,"無車位","無管理"
"臺北市士林區","臺北市","套房",9380000,10.545,2,"無車位","有管理"
"臺北市士林區","臺北市","華廈",2.7e+07,44.746,32,"有車位","有管理"
"臺北市士林區","臺北市","公寓",7e+06,28.871,36,"無車位","無管理"
"臺北市北投區","臺北市","華廈",19600000,26.741,1,"無車位","無管理"
"臺北市北投區","臺北市","華廈",2.6e+07,37.855,1,"有車位","無管理"
"臺北市大安區","臺北市","公寓",27800000,32.942,45,"無車位","無管理"
"臺北市大安區","臺北市","華廈",7200000,45.417,23,"有車位","無管理"
"臺北市大安區","臺北市","華廈",45100000,44.864,32,"無車位","無管理"
"臺北市內湖區","臺北市","公寓",1.1e+07,27.558,34,"無車位","無管理"
"臺北市內湖區","臺北市","華廈",22900000,33.305,8,"無車位","有管理"
"臺北市內湖區","臺北市","大樓",22300000,25.561,17,"無車位","有管理"
"臺北市南港區","臺北市","大樓",32800000,39.325,5,"有車位","有管理"
"臺北市士林區","臺北市","公寓",15700000,34.981,32,"無車位","無管理"
"臺北市北投區","臺北市","公寓",1.4e+07,34.065,37,"無車位","無管理"
"臺北市北投區","臺北市","大樓",23500000,54.898,22,"有車位","有管理"
"臺北市士林區","臺北市","大樓",9580000,20.001,10,"無車位","有管理"
"臺北市松山區","臺北市","華廈",1.3e+07,55.687,7,"有車位","有管理"
"臺北市北投區","臺北市","套房",5700000,12.052,9,"無車位","有管理"
"臺北市士林區","臺北市","大樓",14800000,38.989,33,"無車位","有管理"
"臺北市內湖區","臺北市","公寓",1.7e+07,31.98,32,"無車位","無管理"
"臺北市內湖區","臺北市","大樓",5.6e+07,64.856,6,"有車位","有管理"
"臺北市中正區","臺北市","大樓",13700000,53.028,5,"有車位","有管理"
"臺北市文山區","臺北市","套房",4600000,11.374,20,"無車位","有管理"
"臺北市士林區","臺北市","公寓",8800000,31.793,34,"無車位","無管理"
"臺北市大安區","臺北市","大樓",77400000,69.049,25,"有車位","有管理"
"臺北市大安區","臺北市","公寓",28500000,33.798,30,"無車位","無管理"
"臺北市士林區","臺北市","透天",25700000,26.856,41,"無車位","無管理"
"臺北市北投區","臺北市","大樓",13400000,26.154,6,"有車位","有管理"
"臺北市北投區","臺北市","套房",7580000,12.741,6,"無車位","有管理"
"臺北市士林區","臺北市","華廈",21600000,33.771,33,"無車位","有管理"
"臺北市信義區","臺北市","套房",5e+06,10.025,17,"無車位","有管理"
"臺北市松山區","臺北市","公寓",15300000,20.349,24,"無車位","無管理"
"臺北市松山區","臺北市","大樓",2e+07,79.452,27,"有車位","有管理"
"臺北市信義區","臺北市","大樓",1.13e+08,77.425,1,"有車位","無管理"
"臺北市中山區","臺北市","大樓",5.5e+07,59.32,11,"無車位","有管理"
"臺北市內湖區","臺北市","大樓",13200000,18.546,11,"有車位","有管理"
"臺北市中山區","臺北市","華廈",23700000,35.114,35,"無車位","無管理"
"臺北市中山區","臺北市","公寓",2.3e+07,26.892,42,"無車位","無管理"
"臺北市內湖區","臺北市","大樓",8020000,13.213,17,"無車位","有管理"
"臺北市內湖區","臺北市","套房",8900000,15.775,33,"無車位","無管理"
"臺北市內湖區","臺北市","華廈",20700000,38.829,6,"有車位","有管理"
"臺北市萬華區","臺北市","套房",7100000,15.561,45,"無車位","無管理"
"臺北市文山區","臺北市","華廈",57800000,88.173,1,"有車位","有管理"
"臺北市文山區","臺北市","透天",22900000,65.522,18,"有車位","有管理"
"臺北市中正區","臺北市","華廈",31500000,49.71,31,"有車位","有管理"
"臺北市文山區","臺北市","華廈",7600000,36.539,20,"無車位","無管理"
"臺北市文山區","臺北市","大樓",2.9e+07,48.857,2,"有車位","有管理"
"臺北市文山區","臺北市","公寓",13300000,43.745,31,"無車位","無管理"
"臺北市文山區","臺北市","大樓",2.5e+07,47.096,13,"有車位","有管理"
"臺北市中正區","臺北市","華廈",8900000,18.053,34,"無車位","有管理"
"臺北市文山區","臺北市","套房",6450000,11.171,20,"無車位","有管理"
"臺北市文山區","臺北市","公寓",26800000,53.313,25,"無車位","無管理"
"臺北市文山區","臺北市","套房",3850000,10.545,19,"無車位","有管理"
"臺北市文山區","臺北市","公寓",10800000,33.472,27,"無車位","有管理"
"臺北市文山區","臺北市","大樓",17200000,46.661,19,"有車位","有管理"
"臺北市大同區","臺北市","大樓",33100000,46.056,6,"有車位","有管理"
"臺北市萬華區","臺北市","公寓",3e+06,9.178,39,"無車位","無管理"
"臺北市萬華區","臺北市","公寓",3e+06,12.781,39,"無車位","無管理"
"臺北市內湖區","臺北市","套房",9e+06,15.966,18,"無車位","有管理"
"臺北市內湖區","臺北市","大樓",2.9e+07,50.188,4,"有車位","有管理"
"臺北市內湖區","臺北市","公寓",21400000,41.563,25,"無車位","有管理"
"臺北市內湖區","臺北市","華廈",1.6e+07,25.219,21,"無車位","有管理"
"臺北市內湖區","臺北市","大樓",16700000,24.191,18,"無車位","有管理"
"臺北市中山區","臺北市","公寓",17900000,28.326,30,"無車位","無管理"
"臺北市內湖區","臺北市","公寓",10600000,24.436,34,"無車位","無管理"
"臺北市內湖區","臺北市","華廈",19700000,30.392,1,"有車位","無管理"
"臺北市內湖區","臺北市","公寓",12500000,35.305,29,"無車位","無管理"
"臺北市松山區","臺北市","大樓",13600000,46.612,26,"無車位","有管理"
"臺北市信義區","臺北市","套房",6630000,10.361,20,"無車位","有管理"
"臺北市松山區","臺北市","公寓",28800000,32.631,45,"無車位","無管理"
"臺北市南港區","臺北市","華廈",11500000,24.339,7,"無車位","有管理"
"臺北市信義區","臺北市","公寓",17700000,35.347,33,"無車位","無管理"
"臺北市士林區","臺北市","華廈",26500000,42.117,29,"無車位","無管理"
"臺北市士林區","臺北市","公寓",25700000,47.871,29,"無車位","有管理"
"臺北市士林區","臺北市","公寓",1.1e+07,20.921,38,"無車位","無管理"
"臺北市士林區","臺北市","公寓",2e+07,33.133,40,"無車位","無管理"
"臺北市北投區","臺北市","公寓",14500000,25.168,36,"無車位","無管理"
"臺北市北投區","臺北市","公寓",17300000,58.11,43,"無車位","無管理"
"臺北市大安區","臺北市","華廈",2e+07,35.892,31,"無車位","無管理"
"臺北市大安區","臺北市","套房",1e+07,9.837,7,"無車位","有管理"
"臺北市大安區","臺北市","華廈",91900000,65.037,9,"有車位","有管理"
"臺北市北投區","臺北市","公寓",6410000,15.34,37,"無車位","無管理"
"臺北市內湖區","臺北市","華廈",15800000,28.257,15,"有車位","有管理"
"臺北市信義區","臺北市","公寓",1.7e+07,35.081,39,"無車位","無管理"
"臺北市信義區","臺北市","公寓",15600000,32.231,25,"無車位","無管理"
"臺北市松山區","臺北市","華廈",22100000,38.454,33,"無車位","無管理"
"臺北市士林區","臺北市","公寓",16600000,23.991,26,"無車位","無管理"
"臺北市松山區","臺北市","華廈",2.7e+07,46.936,33,"無車位","有管理"
"臺北市北投區","臺北市","公寓",8350000,26.472,28,"無車位","無管理"
"臺北市士林區","臺北市","大樓",1.2e+07,31.557,14,"無車位","有管理"
"臺北市內湖區","臺北市","華廈",16600000,30.404,30,"無車位","無管理"
"臺北市北投區","臺北市","公寓",22200000,34.17,29,"無車位","無管理"
"臺北市大安區","臺北市","華廈",3e+07,26.632,8,"無車位","有管理"
"臺北市大安區","臺北市","華廈",4.2e+07,36.309,2,"有車位","有管理"
"臺北市大安區","臺北市","華廈",7.2e+07,62.633,11,"有車位","有管理"
"臺北市士林區","臺北市","公寓",5500000,28.435,37,"無車位","無管理"
"臺北市北投區","臺北市","大樓",4400000,12.638,25,"無車位","有管理"
"臺北市北投區","臺北市","大樓",6600000,19.006,25,"無車位","有管理"
"臺北市北投區","臺北市","公寓",14600000,25.098,34,"無車位","無管理"
"臺北市北投區","臺北市","大樓",19400000,47.511,24,"無車位","有管理"
"臺北市士林區","臺北市","公寓",5650000,24.977,39,"無車位","無管理"
"臺北市士林區","臺北市","公寓",18300000,37.35,32,"無車位","無管理"
"臺北市松山區","臺北市","大樓",34800000,54.698,17,"有車位","有管理"
"臺北市松山區","臺北市","大樓",64300000,65.63,3,"有車位","有管理"
"臺北市松山區","臺北市","大樓",44800000,67.802,10,"有車位","有管理"
"臺北市南港區","臺北市","華廈",25400000,46.407,1,"有車位","有管理"
"臺北市南港區","臺北市","華廈",11900000,16.259,6,"無車位","有管理"
"臺北市內湖區","臺北市","華廈",23500000,42.426,30,"無車位","有管理"
"臺北市內湖區","臺北市","公寓",1.2e+07,30.332,32,"無車位","有管理"
"臺北市中山區","臺北市","大樓",1e+07,14.889,34,"無車位","有管理"
"臺北市中山區","臺北市","公寓",7250000,28.916,35,"無車位","無管理"
"臺北市內湖區","臺北市","華廈",14500000,25.201,22,"無車位","無管理"
"臺北市中山區","臺北市","華廈",25900000,35.801,37,"無車位","無管理"
"臺北市內湖區","臺北市","大樓",10200000,19.508,21,"無車位","有管理"
"臺北市大同區","臺北市","套房",7350000,17.373,38,"無車位","有管理"
"臺北市大同區","臺北市","華廈",12500000,28.943,32,"無車位","有管理"
"臺北市文山區","臺北市","華廈",26700000,59.329,5,"有車位","有管理"
"臺北市文山區","臺北市","華廈",1.1e+07,21.42,19,"無車位","有管理"
"臺北市文山區","臺北市","大樓",22800000,49.822,1,"有車位","有管理"
"臺北市文山區","臺北市","公寓",8600000,36.215,15,"有車位","有管理"
"臺北市文山區","臺北市","公寓",8600000,36.194,15,"有車位","有管理"
"臺北市文山區","臺北市","公寓",7e+06,33.574,33,"無車位","無管理"
"臺北市中正區","臺北市","套房",13200000,15.936,0,"無車位","有管理"
"臺北市文山區","臺北市","大樓",37600000,62.022,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",20700000,33.293,0,"無車位","有管理"
"臺北市文山區","臺北市","大樓",19900000,34.273,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",19200000,32.038,0,"無車位","有管理"
"臺北市文山區","臺北市","大樓",36700000,62.022,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",37500000,62.022,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",37500000,62.022,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",2e+07,35.529,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",19800000,35.529,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",21300000,35.529,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",18600000,34.996,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",19500000,34.996,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",3.8e+07,65.618,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",21400000,34.996,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",36800000,64.257,0,"有車位","有管理"
"臺北市文山區","臺北市","大樓",37200000,65.618,0,"有車位","無管理"
